MI006  Mary ImmaculateGael                                 400      430      18                         
LM020  Law and Accounting                                   505      540      52                         
LM021  LanguageComputing                                   415      425      5                          
LM030  Irish Music and Dance                                340      390      11                         
LM040  European Studies                                     355      380      56                         
LM041  Public Administration                                365      380      78                         
LM042  LawEuropean Studies                                 475      495      77                         
LM043  InsuranceEurStudies                                390      405      24                         
LM044  Applied Languages                                    470      510      14                         
LM045  Language  Cultural Studies                          375      405      37                         
LM046  HistoryPolitics  Soc Stud                        410      450      44                         
LM047  Arts                                                 390*     415      156                        
LM048  Irish Studies                                        350      375      5                          
LM050  Business Studies                                     400      430      371                        
LM051  Computer Systems                                     290      355      88                         
LM052  BusinessFrench                                      420      455      33                         
LM053  BusinessGerman                                      390      445      14                         
LM054  BusinessSpanish                                     420      480      6                          
LM055  BusinessJapanese                                    480      530      2                          
LM059  Computer Systems with French                         No offers                                    
LM060  Mathematical SciencesComputing                      375      430      21                         
LM061  Industrial Chemistry                                 380      505      21                         
LM062  Advanced Biomedical Materials                        325      370      6                          
LM063  Production Management                                300      355      19                         
LM064  Industrial Biochemistry                              360      425      21                         
LM065  Applied Physics                                      355      410      14                         
LM066  Environmental Science                                350      400      20                         
LM067  Wood ScienceTech                                    325      355      14                         
LM068  Food Technology                                      310      360      9                          
LM069  Computer Engineering                                 400      490      23                         
LM070  Electronic Engineering                               400      470      28                         
LM071  Biomedical Engineering                               410      445      16                         
LM072  Industrial Design                                    #        #        20                         
LM073  Mechanical Engineering                               400      455      60                         
LM074  Computer Integrated design                           420      425      3                          
LM077  Aeronautical Eng                                     390      435      33                         
LM078  Mech Engineering  German                            640      640      1                          
LM079  Manufacturing Engineering                            355      365      6                          
LM080  Electronic Systems                                   300      355      11                         
LM081  Manufacturing Technol                                315      355      19                         
LM083  Information Technology                               300      365      32                         
LM089  Sports Science                                       435      465      50                         
LM090  PE Teaching                                          465#     485#     65                         
LM092  Biological Sci with PhyChm Teaching                375      425      37                         
LM093  Equine Science                                       330      395      27                         
LM094  TechConstruct Teaching                              405      435      66                         
LM095  TechEngineer Teaching                               370*     400      31                         
LM096  Physics and Chemistry Teaching                       375      465      4                          
LM100  Physiotherapy                                        545      555      26                         
MH101  Arts                                                 365*     390      767                        
MH102  Finance                                              370      395      114                        
MH103  Music                                                #        #        33                         
MH104  French and Historical Studies                        350      395      3                          
MH105  German and Historical Studies                        350      405      3                          
MH106  Psychology                                           515*     525      23                         
MH107  Social Science                                       410      445      37                         
MH201  Science                                              305      345      109                        
MH202  Biotechnology                                        330      345      21                         
MH203  Computer Science                                     340      360      32                         
MH204  Physics with Astrophysics                            430      490      11                         
MH205  Theoretical Physics  Computer Science               390      410      5                          
MH206  Theoretical Physics and Mathematics                  535      590      2                          
MH207  Computational Biology  Bioinformatics               400      425      15                         
MH208  Biological Science                                   400      445      34                         
MH301  Computer Engineering                                 400      410      1                          
MH302  Electronic Engineering                               390      415      5                          
MH303  Communications Engineering                           350      350      3                          
MH304  Computer Electronic  Communications Engineering     415      430      8                          
MU001  Theology and Arts                                    350*     360      70                         
MU002  Theology                                             305      320      5                          
MU701  Theology  St Patricks College Thurles             235      34       1                          
SN001  Business Studies in Int Hotel Mgt                    389#     499#     37                         
SN002  Commerce   Dip in Int Hotel Mgt                   537#     605#     9                          
SG141  Business Studies                                     355      380      34                         
SG145  Computing in Web Development                         300      345      13                         
SG243  Performing Arts                                      No offers                                    
SG341  Quality Management                                   245      315      11                         
SG441  Environmental Science  Tech                         280      325      34                         
SG445  Pharmaceutical Science                               250      325      23                         
SG446  Archaeology                                          No offers                                    
AS001  Home Econ  Biology                                  455*     470      15                         
AS002  Home Econ  Catechetics                              415*     430      11                         
TI005  Business Studies  EBusiness  THURLES              230      335      11                         
TI105  Business Studies  EBusiness  CLONMEL              No offers                                    
TL170  Folk Theatre Studies                                 No offers                                    
TL280  Business Studies  eBusiness                       270      335      10                         
TL320  Computing with Enterprise Studies                    280      390      3                          
WD025  Construction Management                              300      350      54                         
WD026  Electronics                                          280      335      7                          
WD027  Music                                                260#     345      17                         
WD028  Applied Computing                                    280      330      21                         
WD048  Business studies                                     330      365      193                        
WD049  Business studies French                             330*     375      16                         
WD079  Administration                                       305      350      26                         
WD080  Business with German                                 355      375      1                          
WD084  Accounting                                           345      385      49                         
WD085  Manufacturing Systems Engineering                    305      365      3                          
WD086  Electronic Engineering                               350      460      8                          
WD091  Hospitality Management                               270      320      19                         
WD095  Marketing                                            320      355      35                         
